#####################################################################
# Alchemist log file - simulation started at: 2024-05-30T13:51+0000 #
#####################################################################
#
# seed = 25.0, leaderInitialResource = 1000, resourceUpperBound = 10, resourceLowerBound = 10, spawningRatio = 500, maxChildren = 5, gaussianShape = 5, initialNodes = 1, resourceRadius = 6.0
#
# The columns have the following meaning: 
# simulation_time nodes limited_size full_size 
873.2459822523016 38.0 1655.0 58741.0
876.2459822523016 38.0 1655.0 58751.0
879.2459822523016 38.0 1655.0 58744.0
882.2459822523016 38.0 1655.0 58711.0
885.2459822523016 38.0 1655.0 58711.0
888.2459822523016 38.0 1655.0 58711.0
891.2459822523016 38.0 1655.0 58711.0
894.2459822523016 38.0 1655.0 58711.0
897.2459822523016 39.0 1699.0 60212.0
900.2459822523016 41.0 1778.0 63138.0
903.2459822523016 41.0 1778.0 63496.0
906.2459822523016 41.0 1778.0 63478.0
909.2459822523016 40.0 1738.0 61949.0
912.2459822523016 40.0 1738.0 61939.0
915.2459822523016 40.0 1738.0 61947.0
918.2459822523016 40.0 1738.0 61918.0
921.2459822523016 40.0 1738.0 61918.0
924.2459822523016 40.0 1738.0 61918.0
927.2459822523016 40.0 1738.0 61918.0
930.2459822523016 40.0 1738.0 61918.0
933.2459822523016 41.0 1783.0 63421.0
936.2459822523016 45.0 1947.0 69380.0
939.2459822523016 46.0 1988.0 71363.0
942.2459822523016 45.0 1946.0 69926.0
945.2459822523016 44.0 1901.0 68357.0
948.2459822523016 42.0 1820.0 65292.0
951.2459822523016 42.0 1820.0 65248.0
954.2459822523016 42.0 1820.0 65258.0
957.2459822523016 42.0 1820.0 65234.0
960.2459822523016 42.0 1820.0 65226.0
963.2459822523016 42.0 1820.0 65226.0
966.2459822523016 42.0 1820.0 65226.0
969.2459822523016 42.0 1820.0 65226.0
972.2459822523016 42.0 1820.0 65224.0
975.2459822523016 44.0 1906.0 68280.0
978.2459822523016 47.0 2026.0 72968.0
981.2459822523016 46.0 1986.0 71460.0
984.2459822523016 46.0 1986.0 71455.0
987.2459822523016 46.0 1986.0 71441.0
990.2459822523016 44.0 1903.0 68352.0
993.2459822523016 44.0 1903.0 68322.0
996.2459822523016 43.0 1861.0 66761.0
999.2459822523016 43.0 1861.0 66730.0
1002.2459822523016 43.0 1862.0 66703.0
1005.2459822523016 42.0 1820.0 65122.0
1008.2459822523016 41.0 1780.0 63594.0
1011.2459822523016 41.0 1780.0 63568.0
1014.2459822523016 40.0 1740.0 62018.0
1017.2459822523016 40.0 1740.0 62009.0
1020.2459822523016 40.0 1740.0 62009.0
1023.2459822523016 40.0 1740.0 61988.0
1026.2459822523015 40.0 1740.0 61988.0
1029.2459822523015 40.0 1740.0 61988.0
1032.2459822523015 40.0 1740.0 61988.0
1035.2459822523015 40.0 1740.0 61988.0
1038.2459822523015 42.0 1825.0 64984.0
1041.2459822523015 44.0 1906.0 68149.0
1044.2459822523015 44.0 1906.0 68183.0
1047.2459822523015 44.0 1906.0 68185.0
1050.2459822523015 42.0 1823.0 65105.0
1053.2459822523015 41.0 1781.0 63583.0
1056.2459822523015 40.0 1740.0 62053.0
1059.2459822523015 40.0 1740.0 62047.0
1062.2459822523015 40.0 1740.0 62035.0
1065.2459822523015 40.0 1740.0 62025.0
1068.2459822523015 40.0 1740.0 62005.0
1071.2459822523015 40.0 1740.0 62005.0
1074.2459822523015 40.0 1740.0 62005.0
1077.2459822523015 40.0 1740.0 62005.0
1080.2459822523015 40.0 1740.0 62005.0
1083.2459822523015 42.0 1828.0 65007.0
